#,Name,Team,PA,IP,Bat WAR,Pit WAR,Total WAR
1,Aaron Judge,NYY,458,,5.3,,5.3
2,Gerrit Cole,NYY,,209,0,5.2,5.2
3,Gleyber Torres,NYY,672,,3.2,,3.2
4,Michael King,NYY,,104.2,0,2.2,2.2
5,Anthony Volpe,NYY,601,,1.9,,1.9
6,Clarke Schmidt,NYY,,159,0,1.8,1.8
7,Kyle Higashioka,NYY,260,,1.7,,1.7
8,Clay Holmes,NYY,,63,0,1.5,1.5
9,Harrison Bader,NYY,310,,1.3,,1.3
10,Ian Hamilton,NYY,,58,0,1.1,1.1
11,DJ LeMahieu,NYY,562,,1.1,,1.1
12,Domingo Germán,NYY,,108.2,0,0.9,0.9
13,Anthony Rizzo,NYY,421,,0.9,,0.9
14,Jose Trevino,NYY,168,,0.9,,0.9
15,Nestor Cortes,NYY,,63.1,0,0.8,0.8
16,Nick Ramirez,NYY,,40.2,0,0.7,0.7
17,Jimmy Cordero,NYY,,32.2,0,0.5,0.5
18,Jhony Brito,NYY,,90.1,0,0.4,0.4
19,Billy McKinney,NYY,147,,0.4,,0.4
20,Austin Wells,NYY,75,,0.4,,0.4
21,Greg Allen,NYY,28,,0.3,,0.3
22,Jasson Domínguez,NYY,33,,0.3,,0.3
23,Tommy Kahnle,NYY,,40.2,0,0.3,0.3
24,Isiah Kiner-Falefa,NYY,361,4,0.2,0.1,0.2
25,Estevan Florial,NYY,71,,0.2,,0.2
26,Luke Weaver,NYY,,13.1,0,0.2,0.2
27,Keynan Middleton,NYY,,14.1,0,0.1,0.1
28,Ben Rortvedt,NYY,79,,0.1,,0.1
29,Randy Vásquez,NYY,,37.2,0,0.1,0.1
30,Josh Donaldson,NYY,120,1,0,0,0
31,Yoendrys Gómez,NYY,,2,0,0,0
32,Greg Weissert,NYY,,20,0,0,0
33,Frankie Montas,NYY,,1.1,0,0,0
34,Jonathan Loáisiga,NYY,,17.2,0,0,0
35,Anthony Misiewicz,NYY,,2.2,0,0,0
36,Willie Calhoun,NYY,149,,0,,0
37,Ryan Weber,NYY,,14.1,0,0,0
38,Deivi García,NYY,,5.2,0,-0.1,-0.1
39,Matt Bowman,NYY,,4,0,-0.1,-0.1
40,Franchy Cordero,NYY,71,,-0.1,,-0.1
41,Matt Krook,NYY,,4,0,-0.1,-0.1
42,Carlos Rodón,NYY,,64.1,0,-0.2,-0.2
43,Zach McAllister,NYY,,5.1,0,-0.2,-0.2
44,Ron Marinaccio,NYY,,47.1,0,-0.2,-0.2
45,Colten Brewer,NYY,,8.1,0,-0.3,-0.3
46,Oswald Peraza,NYY,191,,-0.3,,-0.3
47,Albert Abreu,NYY,,59,0,-0.4,-0.4
48,Aaron Hicks,NYY,76,,-0.4,,-0.4
49,Everson Pereira,NYY,103,,-0.5,,-0.5
50,Wandy Peralta,NYY,,54,0,-0.5,-0.5
51,Jake Bauers,NYY,272,,-0.5,,-0.5
52,Luis Severino,NYY,,89.1,0,-0.6,-0.6
53,Oswaldo Cabrera,NYY,330,,-0.6,,-0.6
54,Giancarlo Stanton,NYY,415,,-0.8,,-0.8
