Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.),,HBreak (In.),
1,,,,,303,17,73,9,"In play, out(s)",Cutter,96.7,2729,10,↓,1,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
2,,,,,301,16,73,9,Foul,Cutter,95.5,2647,12,↓,1,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
3,,,,,300,15,73,9,Foul,Cutter,94.9,2579,14,↓,4,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
4,,,,,299,14,73,9,Ball,Cutter,94.6,2559,15,↓,2,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
5,,,,,298,13,73,9,Ball,Cutter,95.1,2556,13,↓,0,
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
6,,,,,297,12,73,9,Swinging Strike,Cutter,93.7,2554,14,↓,3,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
7,,,,,296,11,73,9,Ball,Cutter,94.1,2578,13,↓,2,←
,,Kenley Jansen,,Anthony Volpe,,,,,,,,,,,,
8,,,,,294,10,72,9,"In play, no out",Cutter,95.1,2597,13,↓,3,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
9,,,,,293,9,72,9,Ball,Cutter,94.2,2695,12,↓,1,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
10,,,,,291,8,72,9,Ball,Cutter,94.7,2592,13,↓,3,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
11,,,,,290,7,72,9,Foul,Cutter,93.1,2660,15,↓,4,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
12,,,,,287,6,71,9,"In play, no out",Cutter,93.8,2650,12,↓,4,←
,,Kenley Jansen,,Billy McKinney,,,,,,,,,,,,
13,,,,,286,5,70,9,"In play, out(s)",Cutter,93.1,2571,16,↓,3,←
,,Kenley Jansen,,Isiah Kiner-Falefa,,,,,,,,,,,,
14,,,,,285,4,70,9,Called Strike,Cutter,94.1,2666,12,↓,0,
,,Kenley Jansen,,Isiah Kiner-Falefa,,,,,,,,,,,,
15,,,,,284,3,69,9,Swinging Strike,Cutter,94.4,2657,13,↓,0,
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
16,,,,,283,2,69,9,Called Strike,Sinker,93.6,2111,14,↓,13,→
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
17,,,,,282,1,69,9,Foul,Cutter,91.8,2482,16,↓,2,←
,,Kenley Jansen,,Jake Bauers,,,,,,,,,,,,
18,,,,,280,14,68,9,"In play, out(s)",Sinker,96.7,2138,19,↓,16,→
,,Jimmy Cordero,,Alex Verdugo,,,,,,,,,,,,
19,,,,,279,13,68,9,Ball,Sinker,96.8,2195,20,↓,17,→
,,Jimmy Cordero,,Alex Verdugo,,,,,,,,,,,,
20,,,,,278,12,68,9,Called Strike,Sinker,96.2,2143,21,↓,19,→
