#,Name,Team,PA,IP,Bat WAR,Pit WAR,Total WAR
1,Rafael Devers,BOS,656,,3.1,,3.1
2,Kutter Crawford,BOS,,129.1,0,2.4,2.4
3,Jarren Duran,BOS,362,,2.4,,2.4
4,Chris Sale,BOS,,102.2,0,2.1,2.1
5,Alex Verdugo,BOS,602,,2,,2
6,Nick Pivetta,BOS,,142.2,0,1.9,1.9
7,Adam Duvall,BOS,353,,1.9,,1.9
8,Triston Casas,BOS,502,,1.7,,1.7
9,Brayan Bello,BOS,,157,0,1.6,1.6
10,Chris Martin,BOS,,51.1,0,1.5,1.5
11,Tanner Houck,BOS,,106,0,1.2,1.2
12,Justin Turner,BOS,626,,1.2,,1.2
13,Kenley Jansen,BOS,,44.2,0,1.1,1.1
14,James Paxton,BOS,,96,0,1,1
15,Garrett Whitlock,BOS,,71.2,0,0.8,0.8
16,Josh Winckowski,BOS,,84.1,0,0.8,0.8
17,Brennan Bernardino,BOS,,50.2,0,0.7,0.7
18,Masataka Yoshida,BOS,580,,0.6,,0.6
19,Wilyer Abreu,BOS,85,,0.6,,0.6
20,Connor Wong,BOS,403,,0.5,,0.5
21,Pablo Reyes,BOS,185,2,0.5,-0.1,0.4
22,Chris Murphy,BOS,,47.2,0,0.4,0.4
23,Raimel Tapia,BOS,97,,0.4,,0.4
24,Reese McGuire,BOS,206,,0.3,,0.3
25,Enmanuel Valdez,BOS,149,,0.3,,0.3
26,Trevor Story,BOS,168,,0.2,,0.2
27,Yu Chang,BOS,112,,0.2,,0.2
28,Rob Refsnyder,BOS,243,,0.2,,0.2
29,Ryan Sherriff,BOS,,6.2,0,0.1,0.1
30,Mauricio Llovera,BOS,,29.2,0,0.1,0.1
31,John Schreiber,BOS,,46.2,0,0.1,0.1
32,Luis Urías,BOS,109,,0.1,,0.1
33,Ceddanne Rafaela,BOS,89,,0.1,,0.1
34,Joe Jacques,BOS,,26.2,0,0.1,0.1
35,Ryan Brasier,BOS,,21,0,0,0
36,Nick Robertson,BOS,,12,0,0,0
37,Brandon Walter,BOS,,23,0,0,0
38,Zack Littell,BOS,,3,0,0,0
39,Jake Faria,BOS,,2,0,0,0
40,Joely Rodríguez,BOS,,11,0,0,0
41,Zack Kelly,BOS,,9.1,0,-0.1,-0.1
42,Caleb Hamilton,BOS,6,,-0.1,,-0.1
43,Dinelson Lamet,BOS,,2,0,-0.1,-0.1
44,Zack Weiss,BOS,,8.2,0,-0.1,-0.1
45,Tayler Scott,BOS,,3.2,0,-0.1,-0.1
46,Richard Bleier,BOS,,30.2,0,-0.1,-0.1
47,Jorge Alfaro,BOS,20,,-0.2,,-0.2
48,Matt Dermody,BOS,,4,0,-0.2,-0.2
49,Justin Garza,BOS,,18.1,0,-0.2,-0.2
50,Bobby Dalbec,BOS,53,,-0.2,,-0.2
51,Kaleb Ort,BOS,,23,0,-0.2,-0.2
52,David Hamilton,BOS,39,,-0.3,,-0.3
53,Christian Arroyo,BOS,206,,-0.4,,-0.4
54,Kyle Barraclough,BOS,,7.2,0,-0.4,-0.4
55,Corey Kluber,BOS,,55,0,-0.8,-0.8
56,Enrique Hernández,BOS,323,,-1.5,,-1.5
